,text,label
0,11 18 175 38 24 28 488 570 1 914 664 3 332 1058 618 536 226 3 119 61 197 41 3 207 120 207 120 2 4 207 147 294 1 154 42 182 38 37 24 6 75 4 77 18 448 522 914 664 3 332 1058 618 536 226 3 119 61 197 41 3 207 120 2 4 301 147 294 1 71 120 2 182 4 207 147 294 6 75 4 27 106 33 21 34 31 29 33 266 3 119 226 3 53 43 119 710 16 43 3 70 29 53 43 25 3 1115 51 216 3 207 120 287 517 275 272 93 182 239 301 294 6 837 462 4 539 19 93 170 182 4 515 389 2 67,0
1,5 145 130 38 2471 405 62 16 70 162 301 207 239 53 47 5 47 56 12 19 223 330 95 887 1 107 124 47 56 20 354 10,1
2,345 28 2 390 64 544 102 4 937 510 59 2 1 12 97 2 68 32 47 105 52 65 37 140 10 10 10 10,0
3,689 738 465 59 306 63 324 85 193 593 1 98 186 234 491 262 1 646 646 4 236 8 317 258 64 5 236 267 149 508 6,0
4,88 86 94 129 5 85 17 1 107 124 145 130 4 12 97 20 5 23 7,0
5,327 80 92 2553 113 113 113 1243 1243 3 171 177 13 17,1
6,12 35 36 5 66 1 166 121 615 616 616 145 130 107 406 160 111 311 311 211 724 130 1 364 5 66 2 506,1
7,12 35 36 32 85 319 23 7 1 11 39 215 99 1276 425 71 150 28 68 415 340 145 11 7 1 312 150 340 145 11 58 211 168 24 20 215 99 30 68 7 1 213 821 60 114 40 5 45 255 189 35 290 6,1
8,1724 52 506 780 1262 713 82 1062 397 513 2 416 547 243 551 3 3 3 3 174 185 460 513 2 571 230 179 39 282 292 88 428 12 19 27 1 228 60 100 2713 1366 7 773 159 2 289 303 1 37 230 271 11 89 668 78 57 27 2 647 276 73 836 1605 81 1332 2 647 276 1 11 419 60 1724 52 506 780 1262 713 104 538 406 164 100 27 39 218 9 324 195 254 28 7 12 8 79 6 178 3 3 3 3 461 461 340 56 95 378 133 317 1553 1506 191 842 3 1073 713 506 2375 677 674 3 3 3 3 174 18 154 9 2 571 230 156 36 986 57 1 780 1262 713 2 778 109 82 11 243 551 125 416 6 178 3 3 3 3 461 461 730 391 308 1836 3 104 677 506 877 2478 3 3 3 3 174 780 1262 713 4 11 139 57 2 305 1272 6 100 2 778 109 73 399 103 134 122 271 549 1 18 83 128 1303 770 1200 490 49 3064 399 103 2 27 1242 57 775 1172 8 2967 6 178 3 3 3 3 461 461 305 272 677 334 1553 3 398 1054 506 170 1262 1029 3 3 3 3 174 107 124 50 71 41 460 838 125 1110 46 2 105 192 4 571 230 2 173 1 83 40 1724 52 506 780 1262 713 176 692 4 125 1110 46 2 105 192 106 6 178 3 3 3 3 461 461 204 108 571 230 1208 78,1
9,137 147 147 39 30 9 93 170 536 1049 1 26 800 142 41 1 26 30 745 135 1 579 44 23 469 25 141 25 2 617 1 20 146 35 195 363 306 23 17 7 1 51 42 357 93 1 26 9 1535 64 1 1253 64 114 40 2 167 290 469 25 141 25 30 93 170 536 1049 2 341 135 30 9 1369 791 303 2,0
10,63 94 5 17,0
11,12 35 36 2 17 440 18 160 1 340 1060 479 591 1 17 240 6 75 163 180 18 160 1 988 908 85 262 6 117 742 487 989 1 82 401 279 5 17 6 533 187 222 164 57 2 305 144 113 57 144 1 39 9 66 583 2 195 183 6 556 295 46 27 1 36 39 248 435 17 45 150 7 1 208 40 199 55 57 26 5 489 181 66 583 290 67 44 211 112 112 7 10,0
12,11 56 7 30 324 124 1 489 203 56 960 1366 2 632 39 17 7,0
13,246 30 23 59 12 40 166 27 2088 139 2 119 226 7 6 307 23 235 37 5 28 8 19 438 337 1 392 622 20 511 7 214 150 1 240 5 65 226 1 87 72 2 144 299 185 314 875 511 6 188 8 150 18 84 69 23 171 177 1 32 5 145 130 208 40 146 485 482 485 383 6,0
14,247 63 134 122 729 204 10,0
15,96 50 13 473 628,1
16,105 68 26 191 1 84 69 2 36 9 485 1596 1 480 82 2 181 55 1 445 445 6,1
17,722 114 40 116 81 55 45 280 8 1009 1 193 729 8 110 63 149 53 31 20 17 7 6,1
